age,job,marital,education,contact,month,day_of_week,duration,y
56,admin.,married,unknown,telephone,may,mon,364,no
48,blue-collar,divorced,basic.4y,telephone,may,mon,178,no
40,blue-collar,married,high.school,telephone,may,mon,98,no
49,blue-collar,divorced,high.school,telephone,may,mon,439,no
41,services,married,high.school,telephone,may,mon,139,no
45,technician,married,high.school,telephone,may,mon,79,no
32,admin.,married,university.degree,telephone,may,mon,175,no
42,admin.,married,university.degree,telephone,may,mon,262,no
50,admin.,married,basic.6y,telephone,may,mon,61,no
31,technician,divorced,professional.course,telephone,may,mon,78,no
56,retired,married,basic.4y,telephone,may,mon,102,no
41,technician,married,professional.course,telephone,may,mon,579,yes
37,blue-collar,married,basic.6y,telephone,may,mon,143,no
41,technician,married,professional.course,telephone,may,mon,677,no
35,blue-collar,married,unknown,telephone,may,mon,267,no
37,blue-collar,married,basic.6y,telephone,may,mon,345,no
52,management,married,university.degree,telephone,may,mon,185,no
39,management,divorced,university.degree,telephone,may,mon,207,no
39,housemaid,married,basic.4y,telephone,may,mon,69,no
56,blue-collar,married,basic.4y,telephone,may,mon,100,no
34,services,married,high.school,telephone,may,mon,125,no
45,blue-collar,married,basic.9y,telephone,may,mon,461,yes
43,unemployed,single,university.degree,telephone,may,mon,240,no
56,management,married,unknown,telephone,may,mon,70,no
39,management,married,university.degree,telephone,may,mon,193,no
53,blue-collar,married,basic.4y,telephone,may,mon,136,no
38,unknown,divorced,high.school,telephone,may,mon,73,no
42,blue-collar,married,basic.4y,telephone,may,mon,528,no
42,blue-collar,married,basic.4y,telephone,may,mon,541,no
35,admin.,single,high.school,telephone,may,mon,338,no
40,admin.,married,university.degree,telephone,may,mon,163,no
51,blue-collar,married,basic.4y,telephone,may,mon,87,no
60,blue-collar,married,basic.9y,telephone,may,mon,301,no
56,entrepreneur,married,unknown,telephone,may,mon,46,no
39,services,divorced,high.school,telephone,may,mon,52,no
56,entrepreneur,married,unknown,telephone,may,mon,204,no
40,blue-collar,married,unknown,telephone,may,mon,155,no
36,blue-collar,married,basic.9y,telephone,may,mon,98,no
51,blue-collar,married,unknown,telephone,may,mon,71,no
51,blue-collar,married,unknown,telephone,may,mon,243,no
43,technician,single,professional.course,telephone,may,mon,186,no
59,services,married,high.school,telephone,may,mon,579,no
24,management,single,university.degree,telephone,may,mon,165,no
37,blue-collar,single,basic.9y,telephone,may,mon,163,no
40,blue-collar,married,basic.9y,telephone,may,mon,46,no
42,blue-collar,married,basic.9y,telephone,may,mon,559,no
39,services,divorced,high.school,telephone,may,mon,2033,no
37,entrepreneur,married,basic.6y,telephone,may,mon,85,no
38,services,married,high.school,telephone,may,mon,506,no
56,admin.,divorced,unknown,telephone,may,mon,114,no
40,blue-collar,married,unknown,telephone,may,mon,114,no
54,management,divorced,university.degree,telephone,may,mon,843,no
43,blue-collar,married,high.school,telephone,may,mon,181,no
36,services,married,high.school,telephone,may,mon,427,no
45,technician,married,university.degree,telephone,may,mon,292,no
42,admin.,single,university.degree,telephone,may,mon,192,no
43,services,married,high.school,telephone,may,mon,93,no
46,management,married,basic.9y,telephone,may,mon,128,no
44,services,married,high.school,telephone,may,mon,107,no
51,admin.,single,basic.6y,telephone,may,mon,303,no
28,services,married,high.school,telephone,may,mon,81,no
37,blue-collar,married,basic.9y,telephone,may,mon,270,no
34,technician,married,high.school,telephone,may,mon,228,no
46,blue-collar,married,basic.6y,telephone,may,mon,240,no
42,blue-collar,married,basic.9y,telephone,may,mon,673,yes
36,admin.,married,university.degree,telephone,may,mon,233,no
54,blue-collar,married,basic.4y,telephone,may,mon,102,no
57,management,married,university.degree,telephone,may,mon,461,no
51,technician,married,basic.6y,telephone,may,mon,250,no
54,retired,married,high.school,telephone,may,mon,130,no
49,blue-collar,married,basic.4y,telephone,may,mon,252,no
34,admin.,married,university.degree,telephone,may,mon,138,no
41,technician,married,professional.course,telephone,may,mon,412,no
38,blue-collar,single,basic.9y,telephone,may,mon,179,no
45,management,divorced,university.degree,telephone,may,mon,19,no
42,technician,married,university.degree,telephone,may,mon,228,no
34,blue-collar,single,basic.9y,telephone,may,mon,55,no
48,blue-collar,married,basic.4y,telephone,may,mon,717,no
37,admin.,married,high.school,telephone,may,mon,313,no
34,blue-collar,single,basic.9y,telephone,may,mon,289,no
40,admin.,married,basic.9y,telephone,may,mon,683,no
43,blue-collar,married,basic.6y,telephone,may,mon,1077,no
33,services,married,high.school,telephone,may,mon,146,no
32,services,single,basic.6y,telephone,may,mon,167,no
39,blue-collar,married,high.school,telephone,may,mon,356,no
43,admin.,married,unknown,telephone,may,mon,277,no
44,blue-collar,married,basic.9y,telephone,may,mon,172,no
35,student,single,university.degree,telephone,may,mon,218,no
35,student,single,university.degree,telephone,may,mon,217,no
35,unemployed,married,professional.course,telephone,may,mon,67,no
36,services,single,basic.4y,telephone,may,mon,291,no
35,student,single,university.degree,telephone,may,mon,248,no
36,student,single,basic.9y,telephone,may,mon,256,no
55,housemaid,divorced,university.degree,telephone,may,mon,286,no
59,admin.,married,university.degree,telephone,may,mon,477,no
57,retired,married,unknown,telephone,may,mon,611,no
39,blue-collar,married,professional.course,telephone,may,mon,471,no
39,housemaid,married,basic.4y,telephone,may,mon,381,no
30,blue-collar,single,unknown,telephone,may,mon,251,no
30,blue-collar,single,unknown,telephone,may,mon,408,no
50,housemaid,married,basic.4y,telephone,may,mon,287,no
40,services,married,high.school,telephone,may,mon,322,no
35,admin.,married,high.school,telephone,may,mon,216,no
43,technician,married,unknown,telephone,may,mon,366,no
36,services,single,basic.6y,telephone,may,mon,210,no
46,technician,married,basic.4y,telephone,may,mon,288,no
40,technician,married,basic.9y,telephone,may,mon,168,no
58,retired,married,university.degree,telephone,may,mon,132,no
42,technician,married,university.degree,telephone,may,mon,64,no
35,admin.,single,university.degree,telephone,may,mon,209,no
43,retired,married,basic.4y,telephone,may,mon,410,no
45,blue-collar,married,basic.4y,telephone,may,mon,177,no
39,admin.,married,professional.course,telephone,may,mon,580,no
50,services,divorced,professional.course,telephone,may,mon,165,no
32,management,divorced,basic.4y,telephone,may,mon,127,no
39,admin.,married,high.school,telephone,may,mon,357,no
52,self-employed,married,university.degree,telephone,may,mon,175,no
44,admin.,married,professional.course,telephone,may,mon,300,no
56,blue-collar,married,basic.4y,telephone,may,mon,136,no
48,admin.,married,high.school,telephone,may,mon,125,no
33,services,married,high.school,telephone,may,mon,189,no
43,management,married,university.degree,telephone,may,mon,213,no
57,retired,married,high.school,telephone,may,mon,238,no
36,technician,single,professional.course,telephone,may,mon,124,no
34,management,married,university.degree,telephone,may,mon,18,no
34,services,single,basic.9y,telephone,may,mon,730,no
30,technician,married,university.degree,telephone,may,mon,40,no
33,services,divorced,unknown,telephone,may,mon,181,no
32,technician,single,professional.course,telephone,may,mon,79,no
36,technician,single,high.school,telephone,may,mon,142,no
36,blue-collar,single,high.school,telephone,may,mon,389,no
33,services,single,high.school,telephone,may,mon,702,no
40,technician,divorced,professional.course,telephone,may,mon,151,no
41,blue-collar,married,basic.4y,telephone,may,mon,211,no
51,services,married,basic.6y,telephone,may,mon,117,no
36,technician,married,professional.course,telephone,may,mon,232,no
28,services,married,unknown,telephone,may,mon,408,no
53,services,married,high.school,telephone,may,mon,370,no
58,blue-collar,married,basic.9y,telephone,may,mon,179,no
45,management,married,basic.9y,telephone,may,mon,46,no
43,technician,married,unknown,telephone,may,mon,200,no
33,admin.,married,high.school,telephone,may,mon,50,no
33,admin.,married,high.school,telephone,may,mon,181,no
27,blue-collar,single,basic.6y,telephone,may,mon,119,no
42,technician,married,high.school,telephone,may,mon,361,no
43,admin.,divorced,basic.9y,telephone,may,mon,73,no
42,admin.,married,university.degree,telephone,may,mon,67,no
27,blue-collar,single,basic.6y,telephone,may,mon,350,no
34,self-employed,single,university.degree,telephone,may,mon,150,no
31,student,single,university.degree,telephone,may,mon,332,no
54,management,divorced,university.degree,telephone,may,mon,611,no
40,self-employed,married,basic.4y,telephone,may,mon,58,no
52,unemployed,married,high.school,telephone,may,mon,151,no
47,management,divorced,university.degree,telephone,may,mon,89,no
49,housemaid,married,basic.9y,telephone,may,mon,152,no
32,admin.,single,high.school,telephone,may,mon,611,no
49,housemaid,single,high.school,telephone,may,mon,110,no
50,blue-collar,married,basic.9y,telephone,may,mon,463,no
34,services,married,high.school,telephone,may,mon,962,no
55,blue-collar,married,basic.4y,telephone,may,mon,102,no
47,technician,single,basic.9y,telephone,may,mon,10,no
51,retired,married,professional.course,telephone,may,mon,118,no
47,blue-collar,married,basic.6y,telephone,may,mon,92,no
56,technician,married,basic.4y,telephone,may,mon,143,no
53,admin.,married,basic.9y,telephone,may,mon,189,no
36,blue-collar,married,basic.9y,telephone,may,mon,75,no
42,blue-collar,divorced,basic.9y,telephone,may,mon,189,no
44,blue-collar,divorced,basic.6y,telephone,may,mon,55,no
39,housemaid,married,basic.9y,telephone,may,mon,935,yes
37,admin.,single,high.school,telephone,may,mon,56,no
60,blue-collar,married,unknown,telephone,may,mon,5,no
36,services,married,high.school,telephone,may,mon,225,no
42,management,divorced,university.degree,telephone,may,mon,125,no
31,admin.,married,high.school,telephone,may,mon,286,no
53,technician,divorced,professional.course,telephone,may,mon,206,no
45,blue-collar,married,basic.4y,telephone,may,mon,164,no
37,technician,single,professional.course,telephone,may,mon,98,no
47,self-employed,married,professional.course,telephone,may,mon,446,no
49,blue-collar,divorced,high.school,telephone,may,mon,742,no
36,admin.,married,university.degree,telephone,may,mon,120,no
35,services,divorced,high.school,telephone,may,mon,122,no
38,unknown,married,unknown,telephone,may,mon,362,no
38,services,single,high.school,telephone,may,mon,357,no
50,blue-collar,divorced,high.school,telephone,may,mon,200,no
59,retired,married,professional.course,telephone,may,mon,107,no
43,unknown,married,unknown,telephone,may,mon,267,no
42,admin.,married,high.school,telephone,may,mon,248,no
40,admin.,married,basic.6y,telephone,may,mon,215,no
46,blue-collar,married,unknown,telephone,may,mon,209,no
57,housemaid,divorced,basic.4y,telephone,may,mon,205,no
42,admin.,married,university.degree,telephone,may,mon,261,no
41,blue-collar,married,basic.4y,telephone,may,mon,83,no
54,management,divorced,university.degree,telephone,may,mon,106,no
27,admin.,single,university.degree,telephone,may,mon,106,no
36,admin.,married,high.school,telephone,may,mon,108,no
58,blue-collar,married,professional.course,telephone,may,mon,214,no
40,management,married,university.degree,telephone,may,mon,358,no
34,admin.,single,basic.9y,telephone,may,mon,453,no
33,admin.,divorced,high.school,telephone,may,mon,364,no
56,retired,married,basic.6y,telephone,may,mon,136,no
42,blue-collar,married,basic.9y,telephone,may,mon,173,no
43,services,married,high.school,telephone,may,mon,241,no
54,management,single,basic.9y,telephone,may,mon,224,no
53,admin.,single,basic.6y,telephone,may,mon,148,no
42,technician,single,unknown,telephone,may,mon,230,no
40,services,married,basic.6y,telephone,may,mon,199,no
54,technician,married,professional.course,telephone,may,mon,196,no
40,housemaid,single,professional.course,telephone,may,mon,111,no
26,admin.,single,university.degree,telephone,may,mon,231,no
33,admin.,married,high.school,telephone,may,mon,316,no
35,blue-collar,married,basic.9y,telephone,may,mon,240,no
36,admin.,married,high.school,telephone,may,mon,669,no
29,services,single,high.school,telephone,may,mon,425,no
36,blue-collar,married,basic.9y,telephone,may,mon,121,no
35,management,married,high.school,telephone,may,mon,174,no
50,self-employed,single,university.degree,telephone,may,mon,88,no
46,services,married,high.school,telephone,may,mon,313,no
49,entrepreneur,married,high.school,telephone,may,mon,135,no
42,technician,single,professional.course,telephone,may,mon,152,no
36,blue-collar,single,high.school,telephone,may,mon,402,no
55,blue-collar,married,basic.9y,telephone,may,mon,221,no
41,management,married,university.degree,telephone,may,mon,213,no
57,management,married,professional.course,telephone,may,mon,144,no
32,services,single,high.school,telephone,may,mon,158,no
49,admin.,married,basic.9y,telephone,may,mon,220,no
57,unknown,married,unknown,telephone,may,mon,325,no
58,blue-collar,divorced,basic.4y,telephone,may,mon,254,no
52,technician,married,high.school,telephone,may,mon,503,no
50,services,divorced,professional.course,telephone,may,mon,680,no
41,blue-collar,single,basic.9y,telephone,may,mon,421,no
33,entrepreneur,married,university.degree,telephone,may,mon,130,no
57,blue-collar,married,basic.4y,telephone,may,mon,164,no
48,blue-collar,married,basic.6y,telephone,may,mon,174,no
55,technician,married,professional.course,telephone,may,mon,113,no
38,management,married,university.degree,telephone,may,mon,195,no
38,services,married,high.school,telephone,may,mon,347,no
53,admin.,married,university.degree,telephone,may,mon,208,no
43,unemployed,single,university.degree,telephone,may,mon,404,no
36,blue-collar,single,high.school,telephone,may,mon,396,no
32,blue-collar,married,basic.9y,telephone,may,mon,98,no
33,services,married,basic.4y,telephone,may,mon,229,no
58,entrepreneur,married,basic.4y,telephone,may,mon,350,no
40,unemployed,divorced,high.school,telephone,may,tue,88,no
57,management,married,university.degree,telephone,may,tue,379,no
45,technician,married,high.school,telephone,may,tue,168,no
42,blue-collar,married,basic.4y,telephone,may,tue,190,no
46,admin.,married,university.degree,telephone,may,tue,158,no
36,technician,married,university.degree,telephone,may,tue,210,no
41,self-employed,married,high.school,telephone,may,tue,102,no
57,admin.,divorced,basic.9y,telephone,may,tue,306,no
49,blue-collar,married,basic.9y,telephone,may,tue,64,no
56,management,divorced,high.school,telephone,may,tue,218,no
37,blue-collar,married,basic.9y,telephone,may,tue,77,no
37,blue-collar,married,basic.9y,telephone,may,tue,54,no
46,admin.,single,high.school,telephone,may,tue,344,no
22,blue-collar,single,basic.9y,telephone,may,tue,195,no
43,services,married,high.school,telephone,may,tue,202,no
49,blue-collar,married,unknown,telephone,may,tue,286,no
41,technician,married,basic.6y,telephone,may,tue,278,no
38,admin.,single,university.degree,telephone,may,tue,189,no
33,admin.,married,basic.9y,telephone,may,tue,83,no
49,admin.,married,university.degree,telephone,may,tue,18,no
30,blue-collar,single,unknown,telephone,may,tue,184,no
33,admin.,married,basic.9y,telephone,may,tue,235,no
34,management,single,university.degree,telephone,may,tue,290,no
30,student,single,unknown,telephone,may,tue,133,no
59,management,married,basic.4y,telephone,may,tue,318,no
59,management,married,basic.4y,telephone,may,tue,437,no
41,self-employed,married,university.degree,telephone,may,tue,402,no
48,housemaid,married,basic.6y,telephone,may,tue,501,no
28,unknown,single,unknown,telephone,may,tue,1201,yes
44,services,married,high.school,telephone,may,tue,1030,yes
59,retired,unknown,university.degree,telephone,may,tue,253,no
50,management,married,high.school,telephone,may,tue,149,no
35,admin.,married,university.degree,telephone,may,tue,144,no
42,admin.,married,high.school,telephone,may,tue,69,no
45,admin.,married,basic.9y,telephone,may,tue,243,no
36,technician,married,professional.course,telephone,may,tue,769,no
56,services,married,high.school,telephone,may,tue,135,no
29,blue-collar,divorced,basic.4y,telephone,may,tue,231,no
41,self-employed,married,university.degree,telephone,may,tue,442,no
42,blue-collar,married,basic.9y,telephone,may,tue,199,no
52,services,single,high.school,telephone,may,tue,455,no
48,services,married,high.school,telephone,may,tue,152,no
31,blue-collar,married,high.school,telephone,may,tue,124,no
43,unemployed,married,university.degree,telephone,may,tue,424,no
36,blue-collar,married,basic.4y,telephone,may,tue,43,no
42,entrepreneur,married,university.degree,telephone,may,tue,154,no
52,services,divorced,basic.6y,telephone,may,tue,393,no
39,admin.,married,high.school,telephone,may,tue,203,no
36,services,married,high.school,telephone,may,tue,140,no
42,blue-collar,married,basic.9y,telephone,may,tue,326,no
41,admin.,married,high.school,telephone,may,tue,483,no
55,technician,married,basic.4y,telephone,may,tue,259,no
30,blue-collar,married,basic.9y,telephone,may,tue,227,no
57,retired,unknown,basic.4y,telephone,may,tue,673,no
45,entrepreneur,married,basic.4y,telephone,may,tue,576,no
51,blue-collar,married,basic.4y,telephone,may,tue,180,no
39,self-employed,single,basic.9y,telephone,may,tue,90,no
47,admin.,married,high.school,telephone,may,tue,505,no
27,services,married,high.school,telephone,may,tue,245,no
34,technician,single,university.degree,telephone,may,tue,186,no
57,blue-collar,married,basic.4y,telephone,may,tue,208,no
43,entrepreneur,married,basic.4y,telephone,may,tue,623,no
49,blue-collar,married,basic.4y,telephone,may,tue,180,no
39,management,married,university.degree,telephone,may,tue,496,no
38,blue-collar,married,basic.4y,telephone,may,tue,118,no
49,blue-collar,married,basic.9y,telephone,may,tue,102,no
58,management,married,basic.6y,telephone,may,tue,342,no
43,technician,married,professional.course,telephone,may,tue,225,no
50,unknown,married,unknown,telephone,may,tue,185,no
31,services,married,high.school,telephone,may,tue,276,no
43,self-employed,divorced,university.degree,telephone,may,tue,87,no
43,self-employed,married,basic.9y,telephone,may,tue,744,no
30,self-employed,single,university.degree,telephone,may,tue,262,no
27,services,single,professional.course,telephone,may,tue,271,no
51,services,married,unknown,telephone,may,tue,141,no
37,technician,married,professional.course,telephone,may,tue,198,no
46,housemaid,married,basic.9y,telephone,may,tue,150,no
35,blue-collar,married,professional.course,telephone,may,tue,241,no
47,admin.,divorced,university.degree,telephone,may,tue,196,no
46,management,married,unknown,telephone,may,tue,149,no
40,technician,married,professional.course,telephone,may,tue,264,no
26,housemaid,married,university.degree,telephone,may,tue,246,no
32,blue-collar,divorced,basic.9y,telephone,may,tue,309,no
45,management,married,university.degree,telephone,may,tue,140,no
34,admin.,married,basic.9y,telephone,may,tue,175,no
47,blue-collar,married,unknown,telephone,may,tue,136,no
42,technician,married,professional.course,telephone,may,tue,1623,yes
57,technician,married,basic.4y,telephone,may,tue,50,no
57,technician,married,basic.4y,telephone,may,tue,101,no
38,blue-collar,married,basic.4y,telephone,may,tue,144,no
57,technician,married,basic.4y,telephone,may,tue,238,no
28,student,single,basic.9y,telephone,may,tue,354,no
60,management,married,university.degree,telephone,may,tue,451,no
48,admin.,married,university.degree,telephone,may,tue,159,no
47,technician,married,professional.course,telephone,may,tue,170,no
40,admin.,married,high.school,telephone,may,tue,243,no
51,management,married,professional.course,telephone,may,tue,141,no
48,unemployed,single,basic.4y,telephone,may,tue,112,no
54,housemaid,married,basic.4y,telephone,may,tue,262,no
40,blue-collar,married,basic.6y,telephone,may,tue,53,no
44,admin.,single,basic.9y,telephone,may,tue,134,no
42,technician,divorced,high.school,telephone,may,tue,204,no
52,self-employed,married,university.degree,telephone,may,tue,678,no
31,blue-collar,single,basic.9y,telephone,may,tue,182,no
32,services,married,high.school,telephone,may,tue,162,no
44,admin.,married,high.school,telephone,may,tue,177,no
39,management,married,basic.6y,telephone,may,tue,27,no
57,management,married,professional.course,telephone,may,tue,699,no
52,admin.,married,basic.4y,telephone,may,tue,358,no
42,management,married,university.degree,telephone,may,tue,1677,yes
42,technician,single,professional.course,telephone,may,tue,529,no
43,management,married,professional.course,telephone,may,tue,310,no
31,admin.,divorced,high.school,telephone,may,tue,47,no
29,admin.,married,university.degree,telephone,may,tue,379,no
57,blue-collar,divorced,basic.4y,telephone,may,tue,30,no
44,blue-collar,married,basic.9y,telephone,may,tue,472,no
59,unknown,married,unknown,telephone,may,tue,113,no
39,blue-collar,married,basic.4y,telephone,may,tue,114,no
57,retired,married,university.degree,telephone,may,tue,116,no
41,management,married,unknown,telephone,may,tue,448,no
37,technician,single,high.school,telephone,may,tue,264,no
38,services,married,high.school,telephone,may,tue,169,no
42,retired,married,basic.4y,telephone,may,tue,145,no
49,unknown,married,unknown,telephone,may,tue,288,no
54,management,married,basic.6y,telephone,may,tue,381,no
36,admin.,married,university.degree,telephone,may,tue,176,no
32,admin.,single,university.degree,telephone,may,tue,215,no
35,technician,married,professional.course,telephone,may,tue,278,no
45,housemaid,married,professional.course,telephone,may,tue,188,no
56,technician,married,unknown,telephone,may,tue,174,no
34,technician,married,university.degree,telephone,may,tue,226,no
41,unemployed,married,basic.9y,telephone,may,tue,111,no
41,services,married,basic.9y,telephone,may,tue,157,no
36,blue-collar,married,basic.9y,telephone,may,tue,46,no
32,admin.,single,university.degree,telephone,may,tue,49,no
31,services,married,high.school,telephone,may,tue,374,no
38,technician,married,professional.course,telephone,may,tue,349,no
35,admin.,divorced,university.degree,telephone,may,tue,325,no
53,admin.,married,professional.course,telephone,may,tue,233,no
51,admin.,married,basic.6y,telephone,may,tue,531,no
56,entrepreneur,married,university.degree,telephone,may,tue,153,no
33,admin.,married,basic.9y,telephone,may,tue,80,no
33,admin.,married,basic.9y,telephone,may,tue,198,no
51,services,divorced,high.school,telephone,may,tue,568,no
39,services,married,high.school,telephone,may,tue,918,yes
45,entrepreneur,married,university.degree,telephone,may,tue,82,no
40,technician,single,university.degree,telephone,may,tue,198,no
60,unknown,single,unknown,telephone,may,tue,211,no
33,technician,married,university.degree,telephone,may,tue,120,no
47,blue-collar,married,high.school,telephone,may,tue,269,no
48,blue-collar,married,basic.4y,telephone,may,tue,128,no
43,entrepreneur,married,high.school,telephone,may,tue,166,no
37,management,married,university.degree,telephone,may,tue,211,no
50,services,married,basic.9y,telephone,may,tue,369,no
59,entrepreneur,married,high.school,telephone,may,tue,91,no
32,technician,married,unknown,telephone,may,tue,267,no
42,housemaid,single,basic.4y,telephone,may,tue,198,no
52,blue-collar,married,basic.4y,telephone,may,tue,371,no
42,blue-collar,married,unknown,telephone,may,tue,288,no
42,admin.,married,unknown,telephone,may,tue,221,no
40,management,married,basic.9y,telephone,may,tue,427,no
38,blue-collar,married,basic.9y,telephone,may,tue,310,no
39,blue-collar,married,basic.6y,telephone,may,tue,158,no
39,blue-collar,married,basic.6y,telephone,may,tue,198,no
38,admin.,married,high.school,telephone,may,tue,145,no
47,admin.,single,unknown,telephone,may,tue,247,no
30,services,single,high.school,telephone,may,tue,102,no
38,admin.,divorced,high.school,telephone,may,tue,179,no
39,technician,divorced,university.degree,telephone,may,tue,73,no
